"","MM001.1","MM001.2","MM001.3","MM001.4","MM002.1","MM002.2","MM003.1","MM003.2","MM004.1","MM004.2","MM005.1","MM005.2","MM005.3","MM006.1","MM006.2","MM007","MM008.1","MM008.2","MM008.3","MM009.1","MM009.2","MM010","MM011","MM012.1","MM012.2","MM013.1","MM013.2","MM013.3","MM014","MM015.1","MM015.2","MM016.1","MM016.2","MM016.3","MM017","MM018","MM019.1","MM019.2","MM019.3","MM020.1","MM020.2","MM020.3","MM021.1","MM021.2","MM021.3","MM021.4","MM022.1","MM022.2","MM022.3","MM023.1","MM023.2","MM024.1","MM024.2","MM024.3","MM025","MM026.1","MM026.2","MM027.1","MM027.2","MM027.3","MM028.1","MM028.2","MM029.1","MM029.2","MM029.3","MM030.1","MM030.2","MM031","MM032.1","MM032.2","MM032.3","MM032.4","MM033.1","MM033.2","MM033.3","MM033.4","MM034.1","MM034.2","MM034.3","MM035.1","MM035.2","MM036","MM037.1","MM037.2","MM038","MM039","MM040.1","MM040.2","MM041.1","MM041.2","MM042.1","MM042.2","MM043.1","MM043.2","MM044.1","MM044.2","MM045.1","MM045.2","MM046.1","MM046.2","MM046.3","MM047.1","MM047.2","MM047.3","MM048.1","MM048.2","MM049.1","MM049.2","MM050.1","MM050.2","MM050.3","MM050.4","MM051","MM052.1","MM052.2","MM053","MM054.1","MM054.2","MM055.1","MM055.3","MM055.4","MM055.5","MM055.6","MM055.7","MM056.1","MM056.2","MM057.1","MM057.10","MM057.11","MM057.12","MM057.2","MM057.3","MM057.4","MM057.5","MM057.6","MM057.7","MM057.8","MM057.9","MM058.1","MM058.2","MM059.1","MM059.2","MM060.1","MM060.2","MM061","MM062.1","MM062.2","MM063","MM064.1","MM064.2","MM065","MM066","MM068.1","MM068.2","MM069","MM070.1","MM070.2","MM070.3","MM071.2","MM071.3","MM072.1","MM072.2","MM074.1","MM074.2","MM075.1","MM075.2","MM077","MM078","MM079.1","MM079.2","MM080","MM081","MM082","MM083.1","MM083.2","MM083.3","MM083.4","MM083.5","MM084","MM085.1","MM085.2","MM086.2","MM086.3","MM086.5","MM086.6","MM087.1","MM087.2","MM088","MM089.1","MM089.2","MM090.1","MM090.2","MM090.3","MM091.1","MM091.2","MM091.3","MM091.4","MM092","MM093","MM094.1","MM094.2","MM096","MM098.1","MM098.10","MM098.11","MM098.12","MM098.13","MM098.14","MM098.15","MM098.2","MM098.3","MM098.4","MM098.5","MM098.6","MM098.7","MM098.8","MM098.9","MM099.1","MM099.2","MM099.3","MM099.4","MM100.1","MM100.2","MM101.1","MM101.2","MM103.1","MM103.2","MM103.3","MM104"
"k__Bacteria|p__Firmicutes|c__Bacilli",5.94889,33.86101,10.47946,5.00569,1.00133,0.19501,3.14062,7.02959,0.24425,0.77757,1.84297,28.71998,3.35786,22.42501,0,0.01706,0.13674,1.24409,0.78132,0.04915,0.10282,0.66393,1.61958,0.97053,1.70553,0.62821,0,0.12968,1.70553,0.30437,0.54567,1.89515,2.7484,1.42975,2.8858,0,0,0.68823,2.43113,1.03237,0.26513,0.24121,0.04177,0,0.03639,0.74609,1.5019,0.26638,0.36291,0.38637,0.16011,51.76169,0.43181,1.90591,0.89263,7.5612,1.95257,0.3144,0.71458,0.64545,9.34752,2.38685,0.14038,0.2649,0.49915,0.7566,1.15681,5.10577,0.39795,7.67007,3.02151,0.28025,46.2627,0.97996,0.47517,0.70549,0.99749,0.62732,0.37155,1.52891,0.19241,0.1599,0,0.20516,1.70692,5.16511,1.64035,0.15536,0.36947,0.28339,0,0.02593,1.25558,3.04547,0.03624,1.84231,1.52369,0.06192,0,83.74073,9.64548,12.50998,20.05005,6.3054,2.80297,0.07009,0.29081,0.03773,4.10016,14.88554,1.33315,0.25407,2.6088,0.00462,7.58328,0.16631,1.47972,0.21911,0,0.1598,1.33518,1.13714,1.15877,0.1759,0.13131,0.72353,40.09585,0.90666,0.46602,0.21718,16.7561,1.10201,96.43911,99.27497,47.63919,11.78979,1.2896,6.46835,1.03149,16.45974,12.31812,0.00894,1.91412,0.65171,0.16556,0,0.87772,0.45118,0.53155,0.40122,0.23935,0,0.11814,0.08214,9.98156,0.3311,0.03792,4.90946,5.77164,10.12011,0.02812,1.50979,3.32634,0.8575,3.34116,0.16829,1.16776,0,9.0483,1.27232,0.15665,1.95343,19.28124,7.17362,0.23016,0,0.2988,0.00252,0.20824,0.6408,1.98875,0.6972,2.46799,0.28168,0.12427,29.82196,66.02487,0.03967,9.76518,1.2902,28.0654,3.66459,34.70454,5.57227,91.50135,81.91372,97.38448,1.60531,13.55127,0.16405,4.43047,0.45873,0.06982,72.53719,98.39219,98.6128,99.27193,88.19415,80.49775,99.96317,1.3746,3.42319,85.95851,65.86531,50.18958,62.63005,43.94307,4.64928,20.13287,27.87739,0.1097,0.13011,4.40822,0.03068,0.374,6.35457,4.33457,0.98769,0.34779
"k__Bacteria|p__Firmicutes|c__Negativicutes",5.51429,1.38503,3.38311,1.81304,3.90561,0.36698,2.79638,3.22972,0.11325,0.307,13.72576,6.10091,6.13571,0.45179,0,0,0.63109,0.02392,0.0358,1.97741,0.95042,3.16577,0.51749,2.41423,33.33274,7.19732,2.71956,16.65161,0.08067,0.87014,0.44645,30.73736,23.32895,0.05482,3.01878,18.00202,0.06713,0.51104,3.66014,1.70655,0.69262,0.3117,1.4713,0.67025,1.21264,0.70928,0.98882,0.32203,2.86506,9.68172,3.01539,0.32051,0.27408,0.48052,0,14.57869,0.92841,2.6015,3.82549,2.96371,12.20028,1.65168,0.74972,4.40768,1.98223,1.00812,0.22087,1.24989,1.3228,3.19623,1.89328,0.18774,1.04534,0.92191,0.62791,0.12869,0.4389,0.7176,0.95859,4.24778,5.12863,0,0.01813,0.21318,0.3133,3.18282,0.14944,0,10.32176,5.35212,0.25154,0.17721,0.7608,1.58665,0.24914,0,1.59486,0,0.36948,0,0,0.81992,0.07052,8.35553,1.61344,0.57739,0.07197,0.07733,2.32493,0.2946,6.84831,3.73456,1.09868,2.18898,1.40454,0,1.02334,0.16373,0,0,0.27578,0,0.01058,0.02562,2.47326,0.70929,0,6.0484,4.36399,4.74157,0.56184,22.5034,0,0,0,6.57641,8.39483,9.92066,0.50859,0,0.67705,0.20879,0.78681,0.25022,0.51351,2.01404,0.7954,0,1.10673,1.62007,2.31648,0.31054,0.87112,0.22709,0.05614,0.01678,1.115,0.7589,15.77205,0.13429,3.54648,2.61091,0.35224,0,3.7856,4.94553,1.8827,0,0.60011,1.08847,0.4387,0.48002,0,0.72121,4.09972,10.79383,0,0.94468,1.17267,1.71772,0.11601,1.70614,0.48133,3.83173,1.3406,0.0857,0,1.43474,1.51184,1.43767,0.84944,0.97675,0.60845,1.3587,1.06029,0.71242,1.06829,1.18078,4.92138,2.9113,0.50655,0.01251,0.25491,0.04799,0,0,0,0.09675,0.24907,0,0.44364,0,0.40714,0.25798,0.98957,1.31825,0.45517,0.05542,0,0.20391,0,1.77663,0.94999,0,1.65411,0.8818,0.39035,0.30046,0.19115
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae",4.74376,0.17705,0.08922,0,0.03099,8.9778,0,1.51892,0,0.2291,0.82211,0,0,0,0,0,0.01079,0,0,0.25839,3.15609,1.6802,0,0.37941,0.00869,1.60629,0.09687,0.26343,0.65842,38.57401,2.78927,0.38532,1.6218,16.19023,1.79343,0.17576,0,0,0,0,0.5846,0.00136,0,0.15763,0.00375,0.02783,0.05727,0.03558,0.05287,0,0.04686,0,0.01601,0.40544,0.06284,7.25645,0,0.26003,0.42715,0.45124,0.40143,0,0.08025,7.27005,29.2244,0.09825,6.25904,1.05013,0.13899,0.0251,0,0.18744,0,0.16774,0.09847,0.04725,0,22.93909,0,5.12062,0.04701,0.00144,10.40838,9.64425,0,0.40265,0.72616,0.02533,0.02711,0.14389,1.39203,1.3796,0,0.59456,0,0,2.76712,3.26648,16.5799,0,0,0,0.11615,0.44333,0,0.00292,2.62293,57.66074,0.54862,0.44153,4.77309,0.63585,1.11836,0.03547,0.08611,0,0,0,0,0,0.89484,0,0,0.03051,0,0.02705,0,0.00582,0.06831,0.0156,0,0.08001,0.28468,0,3.91557,0.09868,0.03296,0,0.49223,0.1254,0.05293,51.57684,0.13508,0,0,0,0.01361,0.03173,0.154,24.88878,1.74162,0,14.19192,29.39934,0.19901,0,0,0,0.01323,0.95394,0.66285,0.00131,0.59066,0.06332,0,0,0,0.1198,63.77711,19.52979,0.12009,0.16649,0,7.4778,0.00168,0,0.01023,0,1.73853,1.49732,6.32293,0.04299,0.01949,1.56894,0.00785,0.80524,0.09171,0.06058,0,0.29506,0.11996,7.52876,1.21426,0,0.02832,0.18014,0.05818,0,3.1198,0,0.71177,0,25.97636,0.03778,0,0.00527,0,0.04018,0.29513,0,29.82982,0,0.03347,0,0,0.18129,0,0.54087,0.94806,0,0.03982,0.00387,0,0,0,0.07597,3.49754,0.97795,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia",3.7521,0.09494,0.02439,0.05877,0.25908,0.34768,0.48273,0.92643,0,0.16978,0.58343,0.92022,0.19452,1.07105,0,0.05492,0.23375,16.64701,9.718,0.30542,0.07405,0.80593,0.15042,0.76099,0.32607,1.68584,0.85577,0.79862,0.50703,0.19548,0.76691,0.15102,0.67985,0.81056,0,0.01313,0,0.00876,0.94949,0.01788,0.20077,0.05644,0.10231,3.4465,0.03886,0.41141,1.26667,1.60349,1.14527,0,0,1.26788,0.11088,2.00735,0,0.78719,1.86667,0.31651,2.35468,0.0357,0,0.04194,0.00594,0.85574,1.0068,0.00091,1.34631,0.03572,0.13835,0.07184,0.70604,3.11737,1.01347,2.61831,3.26746,1.42532,0,0.04654,0.69288,3.42175,11.61724,5.02738,0.78684,2.18383,0.09677,0.05986,8.30759,17.37321,0.51553,0.33556,2.26674,2.26204,0.11685,0.01137,0,0,0.12934,1.26649,0.19155,0,0,1.63667,1.48442,1.17506,0,0.0247,0.65421,1.15763,0,0.52566,2.65954,0.72883,1.24153,0,0.38313,0,0,0.63663,0,7.06877,20.26926,3.80051,2.76318,0.63489,0,0.20781,0,0.21707,0.01738,0.11312,0.47275,0,0,0,0,0,0.00944,0,1.36472,10.2781,4.94063,3.30523,1.39147,0.14085,0,0.6342,15.82807,4.59573,0.08938,2.33257,0.05153,0.56249,0.28247,3.96109,1.46383,0,17.26318,0,0.30166,0,0,0.41572,0.02516,0,1.37421,0.23528,0.02756,0.12806,8.2673,0.9436,0.30939,0.02577,0,0.05123,0.01196,0.05026,0.01611,0.1969,0.07388,0,1.20088,0.03216,0.00717,0.05466,0.03498,7.13855,10.3734,0.02189,0.30237,0.37777,0.08944,0.77746,0.98618,1.73219,0,0.01545,0,0,2.62376,0,0,0.06423,19.55143,0,0,0,0,0.0147,0,0,7.60946,0,0,0,0,0.00371,0,1.68451,0,0,0.50796,0.0248,1.79621,0,0,1.40852,0.58979,0.04215,2.46381
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0.64418,0.01013,0.11819,0.03996,0.00287,0.02356,0,0.0467,0,0.01227,1.1943,0,0,0,0,0,0.22572,1.61805,0.06625,0,0,0.0328,0,0,0.01036,0,0,0,0,0.03913,0.03847,0,0.17129,0,0.03865,0,0,0.02503,0.09417,0,0,0.32511,0.00338,0.35178,0,0.3719,0.38549,0.00528,0.01318,0,0.02551,0,0,0,0,0.26406,0,0.02974,0.13172,0,0,0,0,0.03694,0.08742,0.04503,0.00701,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33902,0,0,0,0,0,0.03266,0,0.06799,0.26319,0.00652,0,0.00107,0.17143,0,0,0,0,0,0,0,0,0,0,0,0,0.04209,0,0,0,0,0.35368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01271,0,0.17296,0.0089,0,0.01048,0,0.06829,0.37148,0.59472,0,0.07321,0,0,0,0,0,0,0,0,0,0,0,0,0.02347,0,0.1009,0.12247,0.01506,0,0,0,0,0,0,0,0,0.01846,0.49481,0,0,0,0.00112,0,0,0,0.20913,0.00974,0,0.03848,0.20861,0,0,0,0,0,0,0,0,1.99937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05697,0.32736,0.34892,0.34165,0,0,0.10453,0.15529,0.25067,0
"k__Bacteria|p__Firmicutes|c__Tissierellia",0.62309,37.01025,11.42815,16.99383,20.71484,36.61478,39.48003,26.11058,8.4753,18.7849,11.28413,17.58055,32.91095,2.27001,0.18251,0.78472,4.51717,3.6873,0.25231,15.37475,3.40059,5.55556,26.45372,1.17561,1.56652,16.87673,10.97321,3.52236,17.43287,0.1964,0,15.37649,4.95504,0,20.96361,0.63672,0.11836,0.68626,0.19828,19.91151,9.01314,3.23688,10.34584,7.00107,0.22942,0.00555,8.68475,0.34013,0.05703,4.39433,9.56934,1.94257,0.00179,0.44001,5.25125,4.28717,1.85187,3.74486,0.85781,45.90426,0.98534,1.77743,11.13268,1.99037,15.07795,3.24857,0.20451,0.19274,10.18852,4.65219,0,2.80987,7.22505,9.9095,11.54867,0.03087,31.48396,0.14808,34.37162,0.38063,2.27418,0.00469,0.0753,7.08112,8.86511,16.54384,2.01374,0,35.1518,17.16892,0.43357,1.42424,13.04327,11.36503,9.69506,18.60855,10.82901,4.67095,22.23866,0,0,1.64863,57.70106,39.54549,33.07475,5.33749,4.51506,1.76159,6.12029,2.64561,12.34394,1.46165,1.06427,12.50515,22.35385,23.99776,7.70288,0,2.28783,0,3.24705,0,0,0.04415,30.0272,27.91242,0,0.03777,0,0.23304,11.35291,0,0,0,0,0,0.01329,0.06013,14.63638,0.48998,41.11663,0.61937,22.75854,10.43831,9.35501,0,4.30583,0.06853,15.06608,2.11839,0,0,0,1.72047,3.96313,4.72385,0,8.1729,3.66454,1.24684,6.43023,21.45415,2.87654,0.45074,25.05794,26.28652,63.41651,0,2.4404,4.57573,13.80584,2.82517,16.25346,3.18557,51.97888,5.11839,0.0212,0.8677,0.29915,12.82166,7.10801,9.20556,32.0449,6.9672,29.2491,1.22238,0.17798,5.4949,12.92512,24.81451,1.00201,0.37561,8.34347,5.02431,0.00493,3.8315,0,6.29638,7.59363,55.53753,2.98083,4.13929,0.02791,0.05953,0,0.00418,0,0.33229,0.38133,0,0.02388,15.57942,0.05943,1.16918,0.21392,0.74529,0,5.33365,3.2692,0.16231,0,0,1.04607,1.42104,1.4828,9.55399,6.75806,4.2788,1.35673
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",0.03902,1.04753,0.18125,2.5922,0.26527,0,0,0.89819,1.34156,0.15143,0.06553,2.88351,1.15644,0.02051,16.02608,16.01066,6.43079,2.02027,0.35501,3.26251,13.24052,0.15625,2.59043,29.01805,0.59172,6.1589,6.74241,4.66842,5.81815,0.96724,0.01059,29.75955,18.42524,0.21732,0.31844,7.48105,31.7723,0.09739,0.81809,1.63221,1.4144,1.76522,0.28463,4.22053,6.15349,1.41641,5.66834,9.25706,6.02708,60.15726,0.72146,12.06184,0.84906,4.75519,25.27838,52.11357,15.98131,0.53774,3.28143,2.57492,49.44109,13.20455,22.72778,1.36423,0.03199,0.09397,2.18808,51.06155,5.40115,22.8134,13.85639,1.46976,1.82921,35.25718,14.78393,11.61725,0.2473,9.58468,6.43202,1.54095,0.15136,5.99464,1.5582,13.63756,1.49922,11.51914,12.49761,6.39192,2.20846,1.23755,1.78438,3.05917,2.10343,8.9456,1.53765,9.31134,8.87951,20.69057,30.60047,4.41154,0,50.88286,4.14136,1.60728,0.07905,0.02774,1.7092,0.1979,0,0,2.68333,2.00758,0,0.00532,3.04856,8.60213,0.02333,0,18.74815,6.05292,0.12584,0,0,1.7058,0.03625,0,0,30.13446,19.44973,9.38372,0.41021,5.99883,0,0.01633,43.48612,9.22697,7.60846,15.17099,0.8917,0.69453,1.36927,2.45638,0.32845,3.89966,0.00763,0,0.65669,0.19962,0.36544,0.44468,11.95312,0,17.23922,25.61592,0.33831,0,0,0.61951,20.35199,1.39606,0,0.9565,0.15135,97.67824,0,0,2.17303,0.00837,0.14129,0.45164,0.11884,0.18976,0,2.92808,0,0,0,0,0.01831,1.44166,0.16289,0.09077,0.08583,1.69915,0.01976,0.13417,0,4.48456,0.00776,0.07486,33.83932,0.57397,14.91865,0.15495,4.43995,0.36244,0.2401,0,0.11625,0,1.15212,0,0.07336,0,1.10088,0.0138,0.59437,0,3.83752,0,0.34425,0.63179,8.4838,26.77299,29.16097,23.56027,6.3347,0,0,6.91401,27.22292,0.15794,4.43716,0.2889,0.11549,0.13467,0.95269,0.36745,0.22091
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",28.80533,24.34843,69.2072,55.0055,59.93842,38.4318,10.60902,16.8022,85.0548,63.34371,34.84714,23.16061,44.79503,35.57679,2.75452,2.3858,76.55385,21.37684,70.1369,54.16656,11.01583,67.34937,64.1945,2.91958,52.17677,12.56676,54.27641,13.52788,49.09413,30.39001,60.80112,16.98603,39.45908,71.67074,53.00572,35.4761,10.63267,95.72488,25.53442,65.15426,71.27588,79.65969,84.836,67.85606,75.52586,66.28991,66.93188,65.23025,57.55567,17.37721,61.27101,12.58218,10.29111,22.37127,21.00134,3.257,42.32383,68.83669,37.18787,18.24695,4.15902,67.68313,37.34732,59.73178,22.69895,91.63657,6.50998,2.72139,43.52576,28.69068,16.78047,58.81624,26.52515,19.967,40.1447,67.40465,45.40127,49.67137,42.55361,67.03024,41.15109,78.72536,30.02969,54.42878,33.78235,54.68535,14.88217,1.68704,33.79842,66.7295,49.26193,22.56979,79.07557,64.52948,80.4357,42.38966,54.30807,36.81434,6.01521,0,86.03068,5.37265,9.404,23.90811,41.28508,84.53431,43.46652,30.92194,64.25811,20.03786,36.55822,52.51554,80.06474,55.11668,62.43773,43.86233,59.09543,52.97896,39.20238,75.00248,40.64791,70.5646,50.15638,78.50976,57.27609,37.99136,57.28178,44.36814,48.45549,60.21243,36.44595,0.19707,3.17385,0,1.28242,0.76353,58.62225,36.63318,64.46333,16.56431,33.08175,26.08625,48.19533,75.98648,72.66086,1.57322,6.01543,54.66183,69.81855,57.96313,70.45811,70.45019,51.53566,14.04208,55.52816,10.39104,65.78222,76.12976,50.01327,81.73679,67.62728,50.63542,48.25907,0.83678,40.24942,55.13507,20.27181,90.52427,2.68227,64.16868,44.3429,93.50219,13.40952,71.33455,36.53791,72.10021,92.93636,91.89482,62.80043,32.87638,37.75462,86.60755,64.56927,81.0739,64.77527,20.63565,3.32207,55.96441,65.01388,51.4653,25.63437,31.07463,20.91702,49.47455,0.21935,10.84657,0.07988,89.52108,51.55702,33.31676,16.22722,82.47661,4.37948,3.53206,0.03667,0.2207,0,3.46714,12.56908,0.03683,4.48777,75.14964,0.61697,0,3.17681,2.11527,5.49329,33.56623,35.74803,3.31895,60.09723,49.53052,57.17355,95.13321,92.18235,23.53604,50.38433,56.07937,27.54156
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales",15.80438,1.26522,0.53581,0.8629,0,0.51706,0,0.68638,0,0.01396,0.88439,1.15128,0.22243,1.5037,0,0,0.0699,0.26477,0.02785,0.03243,0.04938,0.01565,0.0062,0.28044,0.09642,0.88021,0,0.46454,0.14816,0.13509,0.18436,0,0.05477,0.38896,0,0.03675,0.93248,0.01679,0.08473,0,0,0.09424,0.01264,0.12756,0.00817,0.72686,0.65664,0.08514,0.33493,0,0.01628,0.816,0.26387,0.58639,0,0.05763,0.45415,0.23067,2.70295,0.29784,0,0,0.10048,0.92578,1.85635,0.00462,0.06463,0,0.45629,0.50825,0.15171,1.316,0,3.69447,0.25048,0.33135,0,0.77401,0.26277,0.14582,12.35764,2.17255,0.52938,2.90969,0.02754,0,0.36865,0.20657,0.2965,0.79087,0.32895,0.23132,0.43648,0.02841,0,0,0.2239,0,0.30365,0,0,0,0.03286,0.05433,0.524,0.12904,0.36776,0.10512,0,0,0.71622,0.8818,0,0,0,0,0.01269,0,0.24713,0.11235,3.65624,0.14085,0.04836,0.02065,0.58459,4.66517,0,0.01394,0.0551,0.02063,0,0.12526,0,0,0.42711,0.19323,0.00867,1.84594,0.11788,1.41347,0,0.16646,0.29279,0.06655,0.10348,0,0.03595,1.20631,0,0.00313,0.00356,1.01552,0.15837,6.21731,0.21789,0,0,0,0.34321,0.02717,0,0.08602,0,0,0,0.12521,0,0.08409,1.48756,0.20565,0.14316,0.09981,0,0.0797,0.1009,0.43714,0,0.04146,0.25036,0.05004,0.52785,0,0.00179,0,0,2.38056,0.04138,0.02506,0.11089,0.03223,0,2.62002,0.44797,0.7992,0,0.00134,0,0,0,0,4.70573,0.24413,14.70055,0,0,0,0,0.00638,0,0,15.90098,0,0,0,0,0,0,10.85961,2.4629,2.01078,0.01741,0.69588,0.63938,0.0651,0.00263,1.42467,0.49432,0.13912,1.91623
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales",9.93834,0.40373,3.16124,15.12959,0.31504,2.76501,11.17357,21.02872,0.80918,9.33603,23.09815,1.88986,1.48206,19.30379,0.94132,0,3.54012,41.4797,11.41957,7.45807,3.64069,3.5817,0.60565,1.9444,6.28255,27.36049,1.25707,34.14428,2.22939,19.87646,32.72962,0.524,4.19881,5.40853,2.29609,22.20504,0.44944,0.82136,63.44859,0.80193,7.03293,1.75759,0.64796,13.00097,10.91379,15.91387,8.06119,22.43437,28.13476,0.23058,1.74144,0.14452,82.39928,61.30136,0.65825,4.70316,20.66616,17.45241,41.32834,19.05067,2.74281,0.40426,2.7386,19.3022,20.72567,2.20909,69.04301,0.77526,29.94521,28.12917,50.14637,10.33697,12.59347,14.57512,25.69359,15.12391,0.19083,5.64265,1.0812,10.67295,21.32798,1.85271,54.15781,5.52317,1.85676,0.45947,44.5126,69.90041,7.09597,3.62146,40.39053,37.70641,0.68498,4.30223,0.00587,0,5.85103,6.14236,1.86571,0,0,14.29787,6.22993,9.82346,15.9431,7.01066,36.58062,7.24541,15.7802,47.63861,25.24803,28.37575,10.96408,26.87429,1.8037,2.20509,1.53902,44.00399,31.93217,10.83507,18.61438,18.93774,38.05543,17.89909,6.90104,26.90916,2.62238,18.26775,27.12398,24.99827,1.52086,69.99342,0,0.02889,3.24959,70.8506,23.69595,29.64984,11.28404,51.89566,1.91857,12.87303,0,7.79781,11.71621,95.77854,70.76784,37.08773,1.53445,8.4693,9.52408,24.24563,13.32984,18.16353,0.36361,68.13808,11.3275,1.89391,2.34342,3.91514,14.16565,18.7452,8.47725,0,7.84159,3.36419,0.18752,7.88685,4.48431,3.58695,12.76822,0.42535,0,3.3893,3.23559,8.99602,2.78394,4.23884,27.49895,37.95435,39.48549,1.54495,0.03941,1.70136,1.56311,37.42804,19.88384,4.53118,0.03603,0.9564,3.68339,50.97096,17.85946,27.67217,0.18781,1.07816,0,0,14.64741,0.08188,39.72966,11.01215,26.43546,0.1132,0,0.18814,0,3.71481,0.07716,0,16.91216,0.26874,0,0,0,0.07524,0,15.62022,19.53419,23.49947,10.72736,37.01448,26.69431,0.04749,0.06386,3.15908,24.60732,8.10602,40.65548
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales",8.89977,0.01911,0.06514,0,0.30855,0,0,0,0,0,0.07325,0,0,0,0,0,0,0.03014,0.00757,0.34838,2.14639,0,0.04034,1.60683,0,0.1727,0.51831,0.45928,1.81536,0.0627,0.00477,0,0,0.06993,0.00162,0,0.22591,0,0,0.05031,0,0,0,0,0.07758,0,0.00547,0.00255,0,0,0,0.12613,0,0.14101,0.74089,0,0.07834,0,0,0,0,0,0.09346,0,0,0,0,0.35347,0,0,0,0,0,0,0,0,0,0,0,0,0.08638,0,0,0,0.0144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67413,0,0,0,0,0,0,0,0,0,0.82214,0,0.00199,0,0,0.26601,0,0.00298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01856,0,0,0,0,0,0,0,0,0,0,0,0,0.06087,0,0,0,0,0,0,0.02453,0.00512,0,0,0,0,0.04485,0,0,0,0,0,0,0,0,0,0.02022,0,0.03321,0,0.00209,0,0,0,0,0,0.07392,0,0,0,0,0,0.09653,0,0,0.01788,0,0,0,0,0,0,0,0,0,0,0.10869,0.08097,0,0.27943,0.05174,0,0,0,0,0,0,0.01506,0,0,0.03238
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales",8.03961,0.32056,0.09168,0.69325,0.01937,1.38897,22.93883,12.39107,2.37442,0.02986,1.93255,6.62422,1.35321,16.96378,0,0,0.1026,0.22415,0.3222,0.22204,0.21992,0.11597,0.08685,0.09779,2.0017,2.81964,0,6.39236,0.17656,0,0,0.16712,0.38505,2.5332,1.77382,1.51879,0,1.17211,0.91322,0.00354,2.44255,0.24596,0.70372,0.03909,0.12667,2.76364,0.05088,0.00178,0.52742,0,0,0.72705,2.15606,1.03688,4.11893,0.06584,0.38396,1.63018,1.96056,4.73056,0,0.06667,0.42421,1.46196,2.42315,0.04907,10.17732,0,0.48947,1.38425,0.35725,3.86849,0.82476,0.14097,0.71603,0.54559,0.00979,3.67316,2.9465,0.76469,1.15227,2.52607,0,0,0,2.0196,0,0,1.43133,0.96807,1.25875,0.71367,0.03888,0.21404,5.87302,22.95037,2.86069,24.8291,0.18161,0,4.32384,11.32392,0.76263,0.18517,0.03269,0.48947,1.78234,0.23083,0,0.37828,1.28842,3.80873,0.17316,0.00441,0,0,28.11863,0.96746,0,0,0.17591,5.38027,3.12268,0.18303,0,0.04996,0,0,0,0,0,0,0,0,0,0,0,0,1.6981,1.93847,4.52505,0.72763,0.17861,0.17316,1.56628,0,0,0.04788,0.98699,0,0.00232,2.89797,0,0.00757,0.23184,0,0.00366,4.78823,0.2942,0,2.50233,0.77131,0,0.10434,0,0.06128,5.35707,0.00632,0.01823,0.18141,0.10778,0.13822,19.44048,0.32668,0.26268,0.32231,0.0377,0.26517,0.0037,0,0.65461,0.066,0.07084,0.05755,0.07529,0.03774,0.01694,0.55067,8.92927,17.41724,0.12334,0.00527,0,0.47154,0,0.20644,0,0.05348,0.15259,0,1.91469,0.00076,2.8678,0.15018,0,0,0,0.01191,0,0,2.74376,0,0,0,0.01332,0.00652,0,0.17688,11.2148,0.00932,0,4.73517,1.61072,1.22123,4.01082,3.88738,1.5343,0.65971,10.2272
