"","p8582_mo1","p8582_mo10","p8582_mo11","p8582_mo12","p8582_mo2","p8582_mo3","p8582_mo4","p8582_mo5","p8582_mo6","p8582_mo7","p8582_mo8","p8582_mo9","p8585_mo1","p8585_mo2","p8585_mo3","p8585_mo4","p8585_mo6","p8585_mo7","p8585_mo8","p8585_mo9","p8600_mo1","p8600_mo10","p8600_mo11","p8600_mo12","p8600_mo2","p8600_mo3","p8600_mo4","p8600_mo5","p8600_mo6","p8600_mo7","p8600_mo8","p8600_mo9","p8646_mo1","p8646_mo10","p8646_mo11","p8646_mo12","p8646_mo2","p8646_mo3","p8646_mo4","p8646_mo5","p8646_mo6","p8646_mo7","p8646_mo8","p8646_mo9","p8649_mo1","p8649_mo10","p8649_mo11","p8649_mo12","p8649_mo2","p8649_mo3","p8649_mo4","p8649_mo5","p8649_mo6","p8649_mo7","p8649_mo8","p8649_mo9","p8712_mo1","p8712_mo10","p8712_mo11","p8712_mo12","p8712_mo2","p8712_mo3","p8712_mo4","p8712_mo5","p8712_mo6","p8712_mo7","p8712_mo8","p8712_mo9","p8748_mo10","p8748_mo11","p8748_mo12","p8748_mo4","p8748_mo5","p8748_mo6","p8748_mo7","p8748_mo8","p8748_mo9","p8775_mo1","p8775_mo10","p8775_mo11","p8775_mo12","p8775_mo2","p8775_mo3","p8775_mo4","p8775_mo5","p8775_mo6","p8775_mo7","p8775_mo8","p8775_mo9","p8808_mo10","p8808_mo11","p8808_mo12","p8808_mo4","p8808_mo5","p8808_mo6","p8808_mo7","p8808_mo8","p8808_mo9","p8816_mo1","p8816_mo10","p8816_mo11","p8816_mo12","p8816_mo2","p8816_mo3","p8816_mo4","p8816_mo5","p8816_mo6","p8816_mo7","p8816_mo8","p8816_mo9","p8855_mo10","p8855_mo11","p8855_mo12","p8855_mo3","p8855_mo4","p8855_mo8","p8855_mo9","p8883_mo10","p8883_mo11","p8883_mo12","p8883_mo2","p8883_mo3","p8883_mo4","p8883_mo6","p8883_mo7","p8883_mo8","p8883_mo9","p9061_mo1","p9061_mo2","p9061_mo3","p9061_mo4","p9061_mo5","p9061_mo6","p9061_mo7","p9061_mo8","p9193_mo1","p9193_mo2","p9193_mo4","p9193_mo5","p9193_mo6","p9193_mo7","p9216_mo1","p9216_mo2","p9216_mo3","p9216_mo4","p9216_mo5","p9216_mo6","p9216_mo7","p9216_mo8","p9220_mo1","p9220_mo2","p9220_mo3","p9220_mo4","p9220_mo5","p9220_mo6","p9220_mo7","p9223_mo1","p9223_mo2","p9223_mo3","p9223_mo4","p9223_mo5","p9223_mo6","p9223_mo7","p9223_mo8","p9281_mo1","p9281_mo2","p9281_mo3","p9281_mo4","p9281_mo5","p9281_mo6","SKST006_1_G102959","SKST006_10_G102994","SKST006_2_G102960","SKST006_3_G102961","SKST006_4_G102962","SKST006_5_G102963","SKST006_6_G102964","SKST006_7_G102965","SKST006_9_G103014","SKST007_1_G102966","SKST007_2_G102967","SKST007_3_G102949","SKST007_4_G102948","SKST007_6_G102995","SKST007_7_G103016","SKST007_8_G102999","SKST010_1_G102968","SKST010_2_G102969","SKST010_3_G102970","SKST010_4_G102956","SKST010_5_G102990","SKST010_6_G103004","SKST010_7_G103003","SKST010_8_G102998","SKST011_1_G102971","SKST011_2_G102972","SKST011_3_G102973","SKST011_4_G102952","SKST011_5_G102993","SKST011_6_G103002","SKST011_7_G103017","SKST011_8_G103000","SKST012_1_G102974","SKST012_2_G102975","SKST012_3_G102950","SKST012_4_G102954","SKST012_5_G102992","SKST012_6_G102997","SKST014_1_G102976","SKST014_2_G102977","SKST014_3_G102978","SKST014_4_G102979","SKST014_5_G102980","SKST014_6_G102951","SKST014_7_G102940","SKST023_1_G102981","SKST023_2_G102987","SKST023_3_G102941","SKST023_4_G102937","SKST023_5_G103007","SKST023_6_G103009","SKST023_7_G103015","SKST024_1_G102982","SKST024_2_G102953","SKST024_3_G102944","SKST024_4_G102938","SKST024_5_G103001","SKST024_6_G103012","SKST024_7_G103022","SKST024_8_G103031","SKST025_1_G102983","SKST025_2_G102986","SKST025_3_G102942","SKST025_4_G102939","SKST025_5_G103006","SKST025_6_G103010","SKST025_9_G103021","SKST027_1_G102984","SKST027_10_G102936","SKST027_11_G102996","SKST027_12_G103011","SKST027_2_G102985","SKST027_3_G102945","SKST027_4_G102958","SKST027_6_G102955","SKST027_9_G102947","SKST032_1_G102943","SKST032_2_G102946","SKST032_3_G102989","SKST032_4_G103008","SKST032_5_G103024","SKST036_1_G103013","SKST036_2_G103020","SKST036_3_G103025","SKST037_2_G103023","SKST037_3_G103026","SKST041_1_G103005","SKST041_2_G103027","SKST041_3_G103028"
"k__Bacteria|p__Proteobacteria|c__Betaproteobacteria",1.31238,2.43354,1.20857,2.02419,1.6443,2.31189,4.65437,0.17147,0.39567,1.28364,2.38859,1.72484,0.00731,0.13179,0.05915,0.00961,0.15434,0.0955,0.08459,0.10312,0,0,0.00434,0.00384,0,0,0,0,0,0,0,0,0.1027,3.8396,1.64522,1.93816,0.00861,0.3057,0.79807,2.05107,2.4866,1.32479,6.06978,1.06672,0.00474,0.02702,0.00238,0.01445,0.00165,0.00645,0.01674,0,0.00797,0.00363,0.01574,0.00513,0.77653,0.74162,0.19487,1.12646,0.52385,1.33753,3.82868,0.9607,0.92032,1.15923,0.74672,0.89579,1.03156,0.72414,0.75994,1.08051,0.81,0.98748,1.13604,1.29453,0.76805,0,0.7173,0.2396,0.47846,0,0,0,0,0,0,0,0.80101,0,0,0,0,0,0,0,0,0,0.49948,0.4383,0.80655,1.49972,0.25112,0.31717,0.31423,0.44807,1.35654,0.70516,0.33931,0.27918,0.66383,1.38789,1.2324,0,0,0.67293,1.31187,0.11854,0.59313,0.45519,0.47101,0.33022,0.10663,0.39041,0.62079,0.88652,0.17032,0,0,0,0,0,0,0,0,2.04262,1.17545,1.32612,0.55628,1.40329,1.23939,1.35565,0,1.48554,0.93894,2.01501,1.06911,1.53931,2.59848,0,0.04816,0,0.04488,0.07156,0.00785,0.05216,0.07038,0.04294,0.07386,0.06735,0.04501,0.15193,0.05126,0.05073,0.12953,0.27173,0.03599,0.14588,0.16648,0,2.29067,0,0,0,0.44168,0,0.08128,0,0,1.47457,0.71005,1.4015,0.59098,4.72784,6.6372,0.72342,3.27798,0.9383,3.44096,0.41697,0.17437,0.00706,0.53028,0.83611,1.51391,1.47458,0.71416,0.34693,0.43035,0.172,1.30684,0.38482,0.26535,0.53105,0.10799,0.04729,0.04925,0.12795,0,0,0,0,0.00158,0,0,0.57849,0.35935,0,0,0.11195,0,0.61049,0.91161,0.01003,0.02119,0.72821,0.06702,0.05621,1.65608,0.00392,0.74339,0.36109,0.62242,0,0.35168,0,0.18342,2.25251,0,0.0081,0,1.38912,2.12068,1.15035,0,0.5962,0,0,0,0,0,0.13562,0,0.14354,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli",0.32689,0.11255,0.0178,0.11226,0.48131,0.13075,0.03295,0.12768,0.17063,0.30204,0.1331,0.02801,18.06369,17.08955,37.94303,6.98649,5.02106,4.42454,6.93277,0.47199,0.51347,2.02581,0.23731,0.61379,1.34645,6.02559,0.94811,1.6935,0.74227,0.64708,0.66232,1.11933,0.11555,0.14765,0.143,0.03443,0.1252,0.22899,1.02975,2.01849,0.61083,1.21828,0.30516,0.36121,6.35396,0.26088,0.7167,0.18849,1.73413,0.72612,0.16111,62.86092,0.26303,0.14747,0.49855,0.03501,1.1939,2.29671,2.89956,0.40984,1.3594,6.59927,2.53528,10.06416,1.09476,0.93205,10.42322,21.81696,0.46165,0.1612,0.42069,0.15757,2.63441,1.0309,0.43009,0.0728,0.20854,0.90732,15.66212,0.95253,0.68324,0.28927,1.84388,1.30976,3.95538,3.62044,0.54085,1.26696,0.27174,0.19368,0.40952,0.28269,0.62555,0.05782,0,0.72869,0.12592,1.24731,0.16701,2.62176,2.80988,0.1342,9.16843,10.68504,17.44216,1.35687,0.95978,2.46666,0.41918,0.70692,0.87951,1.17849,3.27171,6.19845,5.18758,2.8461,3.57772,0.19634,0.03577,0,0.33684,0.12927,0.26774,0.22634,0.79789,0.43609,0.38574,0,0.01153,0.14151,0.10103,0.44859,0,1.46126,0.70373,0.05743,0.00462,0.52504,0.18292,0.02408,0.01115,0.08241,0,0.09205,0.11318,4.55973,0.72091,0.17857,0.56182,0.01384,0.11372,0.05697,0.08244,0.08294,0.72677,0.09975,3.34029,2.70911,3.35833,0.35855,1.69234,0.58356,0.36077,1.07274,0.01607,0.01677,0.03482,0.02647,0.01222,7.59812,8.22319,100,0,0,0.63341,3.39403,88.85026,79.83993,3.40198,0,0,0.07735,0.01097,0.04927,0,0,0.03462,0,0.52533,0.0971,0.08899,0,0.00241,0.01767,0,0,0,0,0,0,0,0,0.21775,0.02187,0,0.02244,0,0,100,8.07088,0.46287,0,0.21942,0.09771,0.12756,0,0,0.14071,0.06327,0,0.32727,0.05619,0,0.0213,0.11388,0.2518,0,0.60107,0,0.06678,0,0,0.37548,0.00939,0,0,0,0,0.34887,1.34017,47.76116,0,0.41975,0.78947,40.23755,6.15606,1.66888,0,0.21935,0,0,0,0,0.03296,0.03874,0,0,0.03338,0.00301
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria",0.30791,0.00843,0.02836,0.02985,0.49299,0.10984,2.03957,0,0.01483,0,0.00534,0,0.22701,0.03581,0,0.06317,0.01678,0.14935,0.48901,0.04601,0.51177,0.03188,0,0,0.78432,2.39699,0.1671,0.38151,3.34403,0.08906,0.04354,0.02585,0,0,0,0,0,0,0.25917,0.04072,0.34614,0.05871,4.01157,0.00991,0.91115,0.34124,10.59999,0.11094,0.38226,0.15098,1.93954,30.95079,0.20453,0.10037,1.32739,0.49541,0.24473,0.00503,0.04919,0,0.09344,0.03725,0.05125,0,0.09357,0.84251,0.32985,0.01052,0.00321,0,0,0.02545,0.07154,0.03879,0,0.02111,0.00372,0.10919,0.55552,0.11886,0.01682,0.08431,0.07879,0.09518,0.27845,0.57459,0.11282,0.21035,0.12497,0,3.19846,0.21305,0.04671,0.21066,0,0.00802,0.00729,0,0.06331,0,0.04777,0.00307,0.4286,0.96328,0.06434,0.18745,0,0.03414,0,0.01253,0.081,0.34192,3.62818,14.78445,3.27108,0.25799,6.11727,0,0.00633,0,0.00785,0,0,0,0,0.04923,0,0.0347,0.17776,0.04044,0.05083,0,0,0,0.01348,0,0.0836,0,0.01164,0.06499,0.00683,0.56985,0,1.07917,0,0,0,0.06928,0,3.90346,0.39084,10.1052,0.05453,4.16103,1.03951,0,0,0,0,0,0.01403,0.01618,0,0,1.26025,0,0,0,0.05668,1.83245,48.65728,0,0,0,40.33305,96.52068,0,6.20577,56.44753,0.03476,0.01803,0,0.03818,0.17338,0.04764,0.02378,0.75159,0.34332,0.40295,0.0869,0.16606,0.0097,0.10676,0.03171,0.3286,0.01885,0,0.45596,0.21199,0.27791,0.0445,3.24831,0.44066,0.61586,0.85927,0.31512,0.02495,0.24852,0,20.12073,1.27298,1.43962,9.40213,0.50542,0,0.00198,0,0,0.13225,0.01427,0.07187,0.0174,0,0,0,0.03988,0,0,0,0,4.21982,0.02624,2.33432,0,0.03659,0,0.08419,2.23887,48.08415,10.73769,20.07627,1.53451,7.43268,1.29245,45.69839,1.55165,3.2052,3.52385,4.94432,0.05942,0,0.18869,0,0.71125,1.43969,0,0,0.13251,0.04249
"k__Bacteria|p__Firmicutes|c__Negativicutes",0.20925,0.09588,0.04351,0.18997,0.1399,0.10056,0.34171,0.13008,0.16667,0.06904,0.12381,0.04749,10.96586,18.00561,8.82269,26.29876,4.63566,6.7421,6.99908,8.66017,3.39558,1.21524,0.60937,1.57982,2.37031,2.32198,2.2592,2.85134,1.52576,1.92964,0.99894,1.02433,0.03959,0,0,0,0.0074,0.16293,0.20358,0.50892,0.34718,0.64808,0.72917,0.21296,2.67529,0.40723,0.55176,0.91726,2.16575,0.91244,0.84672,2.35472,0.78175,0.44455,0.38787,0.4251,0.2473,1.08038,1.03559,1.42504,0.14699,0.06169,0.14396,0.03544,0.39277,0.68021,0.82208,1.01476,0.42241,0.39398,0.29669,0.38036,0.2274,0.61336,0.35147,0.30291,0.27854,0.32302,2.4326,0.57441,0.29796,0.49432,1.01899,0.72386,0.62122,1.26326,0.76822,0.96981,0.48599,0.03178,3.30816,0.16853,0.05865,0.03349,0.16856,0.10437,0.06178,0.04121,1.50935,2.09793,2.72813,1.98939,2.29408,1.44071,1.68318,3.08778,2.06846,1.79661,2.15032,1.47157,1.44711,2.37657,4.28124,10.58991,3.47135,2.09396,2.11215,0.06209,0.20049,0.1822,0.2634,0.38925,0.04569,0.10779,0.40363,0.27744,0.14203,1.47817,4.57826,0.45057,2.25146,1.6074,0.55059,0.14333,0.05027,1.31876,0.7963,0.64941,1.5278,1.3165,0.62126,0.39716,0,0.36347,0.93249,0.70598,0.72517,0.58751,0.9065,0.37419,0.64272,0.26573,0.49732,0.6361,0.22376,0.45541,0.28753,0.39915,0.3004,0.45294,0.59604,0.36824,0.34972,0.29194,0.22965,0.25641,0.21578,0.35775,0.43815,0,1.99668,0,0,0,53.11717,0,0,9.84604,3.15697,0.11014,0.02385,0.20967,0.07667,0.6444,0.43874,0.16588,0.03035,0.0525,2.66348,0,0.0019,0.58732,0.00434,0.20723,0.03236,0.07184,0,0,0,0,0,0,0.00313,0.16226,0.01691,0.00649,0,0.013,0,57.68409,3.03163,0.11075,7.3502,2.13842,0,0.10049,0.04025,0.31139,0.63157,0.00772,0.1235,0.91043,0.03759,0.71874,0.14059,1.39764,0.02928,0.01561,0.16586,0.19069,0.46049,0.32439,1.43504,0.22704,0.19502,0,0.03868,0,32.35569,56.87455,0,4.54651,1.69478,1.87817,0,48.51285,13.66814,0.93151,1.49933,0.08702,0.10174,3.85077,1.6156,2.06096,7.69096,0,0.47796,0.61209,0.15693
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria",0.20908,0.12606,0.12733,0.07131,0.16539,0.05889,0.08807,0.12202,0.04719,0.04514,0.19773,0.09905,0.00048,0,0,0.00894,0.03526,0.04049,0.04007,0.03,0,0,0,0,0,0,0,0,0,0.00053,0.00279,0.00197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22322,0.21538,0.12772,0,0,0,0,0,0,0,0.09439,0,0,0,0,0,0,0,0,0,0,0,0,0.02692,0,0.03507,0.04687,0.00391,0,0.05407,0.10501,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3724,0,0,0.49656,0.95545,1.56053,0.61487,0.37968,0.52063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02656,0.06991,0.27037,0.24097,0.11863,0.0029,0.13664,0.15606,0.1746,0.0935,0.0283,0.01959,0.01211,0.00902,0.003,0,0.00278,0.00382,0.25901,0.16054,0.05674,0.04205,0.01721,0.02889,0,0,0,0,0,0,0,0,0.02724,0.05085,0.04716,0.06137,0.08091,0.0273,0.05191,0.13927,0.35966,0.26333,0.26391,0.52497,0.51922,0.37778,0.23464,0.00934,0.02004,0,0.00238,0.00657,0,0,0,0,0,0,0,0,0,0,0.13944,0.01487,0.07575,0.02742,0.06849,0.56827,0,0.19916,0.11129,0.19656,0.05399,0.05887,0.14603,0.14154,0.08606,0.21256,0.09467,0.0454,0.04294,0.06375,0.18291,0.14099,0.21031,0.10724,0.40453,0.09129,0.07576,0.03016,0.30104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15395,0,0,0,0,0.13568,0.17499,0,0,0,0.3635,0.50815,0.2719,0.07629,0.06975,0,0.14422,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified",0.10213,0.21212,0.10789,0.18526,0.12512,0.17392,0.37243,0.01236,0.02521,0.07836,0.20844,0.13532,0,0,0,0,0.00571,0.00319,0.00026,0,0,0,0,0,0,0,0,0,0.02155,0,0,0,0,0.35514,0.14922,0.18248,0,0.01516,0.74931,0.15247,0.17643,0.09665,0.41018,0.06898,0,0,0,0,0,0,0,0,0,0,0,0,0.77519,1.21656,0.35501,1.70477,1.06589,0.20166,2.77638,0.84933,0.91559,0.82141,0.73351,1.15904,0.09298,0.03876,0.06355,0.10303,0.06211,0.07093,0.09662,0.11888,0.0566,0,0.13711,0.06151,0.09247,0,0,0,0,0,0,0,0.16627,0,0,0,0,0,0,0,0,0,0,0,0,0.09251,0,0,0,0,0,0,0,0,0.10392,0.20392,0.1419,0,0,0.06193,0.17689,0.69067,3.293,3.2453,2.76228,1.76085,0.76361,1.91839,3.2769,4.14886,0.87694,0,0,0,0,0,0,0,0,0.14883,0.08315,0.09563,0.03347,0.08476,0.0891,0.13733,0,0.13517,0.08668,0.17746,0.10394,0.14625,0.24371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213,0.00991,0,0.00325,0.00354,0,0,0,0,0,0,0,0,0,0,0.44766,0.09828,0.35884,0.14147,1.73514,3.36915,0.13901,0.26557,0.07965,0.44369,0.05621,0.82967,0.26942,0.35915,0.08854,0.13809,0.10583,0.03841,0.02064,0.02767,0.00868,0.10057,0.01558,0.47551,0.58655,0.04402,0.07641,0.02274,0.15225,0,0,0,0,0,0,0,0.80395,0.48252,0,0.11364,0.1057,0,0.92444,0.04965,0,0,0.03534,0,0,1.04918,0.01966,0.79197,0.55048,1.20083,0.01688,3.26475,0,1.57923,0.03036,0,0,0,0,0.79055,2.23369,0,0,0,0,0,0,0,0.498,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified",0.00913,0.42165,0.1409,0.174,0.04125,0.06843,0,0.15352,0.01952,0.00715,0.14939,0.04017,0.79991,0.00965,0.03617,0.34021,0.18312,0.075,0.12774,0,0.03584,0.0248,0.39497,0.65119,0.01312,0,0,0,0,0.01847,0.01809,0.02859,0.17536,0,0.01016,0.0186,0.36871,0.16003,0.00323,0.0858,0.10212,0,0,0,0,0,0,0,0,0,0,0,0.00461,0,0.00504,0.0085,0.01113,1.27282,0.63401,0.95844,5e-04,0.00112,0,0,0,0.51842,1.10848,0.14458,0.21971,0.5337,0.95588,0.76946,0.17312,0.25003,1.73847,0.09779,0.12623,0.64461,0.05695,0.65213,0.52596,0.43525,0.51819,0.51407,1.21654,0.19951,0.14737,0.0185,0.39929,0,0.17697,0,0,0,0,0,0,0,0.68581,0.23037,0.20029,0.05907,0.98379,0.12841,0.26052,0.49201,0.70816,0.14648,0.06814,0.15647,0,0,0,0,0,0.95669,0,0.85761,0.09235,0.68896,0.39243,0.85386,0.54029,0.46579,0.72013,1.09579,0.45363,0,0,0,0,0,0,0,0,0.24689,0.1972,0.59407,1.518,0.22618,0.09826,0.13069,0,0.09075,0.66786,0.10492,0.26929,0.07592,0.13481,0.25813,0.60592,0.65991,0.8282,0.17302,1.52067,0.14571,0.19387,0.50613,0.66742,0.32801,0.85282,1.15234,0.20105,0.48538,0.03589,0.09029,0.1163,0.05262,0.09541,0,0,0,0,0,0,0,0,0,0,0.03016,0.11422,0.0082,0.02204,0.25434,0.10385,0.00649,0.11804,0.03117,2.41029,0.58665,0.45755,0.36412,1.05763,0.2491,1.23487,0.13216,0.17671,1.31437,0.14689,0.29745,0.59873,0.24792,6.48383,0.50513,0.88574,3.86764,0.82755,1.03364,0,0,0,0,5.40353,5.52278,32.18087,0.30712,0.05237,0.08406,0.19613,0,0.12253,1.85741,0,0,0,0,0,0,0,0,0.17008,0.2136,0,0,0,0,0,0,0,0,0,0,1.18909,0,0,0,0,0,0,2.34292,1.26368,0.12353,0,0.08438,0.11198,0,0,0,0.06468
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales",60.25251,33.76397,35.39329,48.58513,57.72128,59.04127,32.06961,63.55512,74.17078,58.9021,43.1212,50.12285,32.38048,25.03462,13.66073,41.68569,23.43348,30.99739,23.28971,28.56687,56.02902,42.82167,32.41116,28.58975,66.99229,78.32783,36.0101,53.09611,65.39792,34.71177,42.39021,48.21202,89.81915,48.42226,50.82205,46.70831,88.11791,89.02,51.35488,64.92871,48.1717,67.86974,66.47341,47.44297,41.78492,30.92939,7.37368,25.55036,36.13463,29.11561,35.55057,2.09281,28.56621,13.36353,26.54116,19.08007,50.54522,35.51576,60.54269,38.54952,47.09537,26.25473,39.56134,17.62773,25.95922,33.63281,28.53792,20.83562,46.45383,48.91057,46.51759,22.39386,48.39665,59.9375,25.63704,39.63126,52.78297,39.14724,31.52123,44.69523,38.71836,37.16942,47.19401,51.86615,41.13604,50.62014,39.70944,55.53986,28.16794,96.48633,71.41978,87.57927,91.19532,87.03425,91.66197,95.19096,95.91209,93.92185,67.9963,55.0323,59.05628,34.78192,61.0473,44.29994,37.73896,46.21395,59.01674,63.13651,49.78914,53.01486,93.20484,75.90705,68.49851,58.02258,72.83596,83.86209,58.51454,64.60827,32.59596,19.97981,33.65702,31.1636,37.40484,37.05963,28.60766,18.85267,53.11296,31.25254,24.0286,22.40432,31.15623,30.31641,20.89372,34.72865,20.50076,51.98774,14.77073,28.18468,42.94539,45.24754,42.86064,31.00002,65.33771,34.65942,33.55486,28.04451,37.84541,32.57931,29.95424,52.17156,39.98738,43.80356,54.80613,36.6265,33.00988,32.31674,21.71906,29.20344,27.80305,24.64082,46.0735,29.03259,29.95606,37.71202,29.47994,33.34627,55.46782,57.47542,37.17717,45.41985,0,0,0,0,0,0.0853,0,0.01841,3.5726,16.29968,6.3375,32.82951,17.76666,62.05042,30.13444,12.60399,52.12454,33.11485,44.10225,25.25912,36.17083,27.6272,31.03352,21.21929,27.24312,28.49572,27.62761,30.95435,32.01595,19.29287,14.75735,12.63102,25.32728,23.60272,23.22785,27.38199,22.45575,31.06514,0,2.01127,33.36068,4.57396,67.39795,68.20559,64.90454,18.67919,9.80173,84.96902,86.92922,2.72912,81.05208,71.44479,7.62695,39.25701,55.28768,46.79261,2.56077,42.03052,16.1611,30.37174,32.77533,43.27761,40.5901,44.55093,13.16268,33.64954,2.1113,10.37817,18.61796,18.63849,0,12.12222,9.88919,27.66125,0,2.39139,25.79099,8.06776,21.11687,9.45385,27.64695,12.78932,30.58748,13.45688,68.10415,77.55171,58.80352,59.20849,51.35578
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales",33.4053,50.20479,55.48931,44.36626,34.59511,26.86031,58.80808,21.49495,11.66676,25.6297,43.67144,43.47916,0.82793,25.13366,19.18532,4.7498,59.43457,47.46624,52.29594,56.3297,37.89,51.86073,61.21727,56.5934,24.12464,0.50237,51.75667,29.19406,20.34656,57.88053,53.09414,46.41346,6.6541,42.57908,40.77554,45.49063,4.52569,4.88507,29.53169,21.81972,44.90934,25.16875,18.57973,38.43734,43.16178,57.68622,67.50894,63.60242,27.9425,58.21575,47.33027,0.07025,57.10539,64.02557,45.3261,51.95386,31.13744,29.27082,27.299,38.89645,27.49815,39.74483,39.33262,41.28582,20.48302,49.0106,24.07929,12.96697,43.47716,42.15289,36.44735,67.18287,25.06384,21.90134,57.637,52.20613,41.79677,48.05262,38.06174,48.91894,55.70426,58.28403,46.36124,38.52912,43.5927,37.9032,55.25626,32.00174,67.35735,0.10377,0.00522,0.04479,0.02665,0.03844,0.02368,0.01958,0.02643,0.05892,24.63897,38.53727,31.47359,56.62643,23.38221,38.23543,37.83479,43.19769,31.24427,28.46932,45.80621,42.098,0.0565,0.01178,0.03007,0.0266,3.37123,0.03432,0.02744,30.27353,60.58454,72.29735,52.4257,59.20117,51.92924,56.71865,62.43403,70.17951,42.63527,66.40813,68.29434,76.11019,64.52709,66.08039,78.14295,62.40963,76.89294,40.10513,80.21752,65.3402,45.86673,46.92501,54.42005,63.31645,34.66229,53.34933,62.63867,63.59569,57.69906,64.27099,65.02828,29.73992,48.43534,30.40025,33.52756,40.80056,11.3774,58.15778,71.96668,62.27956,63.07346,72.67558,48.41778,66.85621,66.2708,59.18934,65.32061,63.54049,42.2299,39.14006,57.67038,7.30914,37.46041,0,45.39589,100,0.40591,0,0.00978,0,0,80.54387,91.51576,64.96584,80.80983,27.96135,58.39782,86.31009,33.33019,63.53427,10.10597,70.71333,59.13979,69.92963,65.6026,76.46887,67.65993,65.9891,70.31978,66.04937,62.09017,69.48532,58.25578,74.53998,64.19478,67.45902,73.20947,64.01041,73.1151,57.18196,0,0.52029,59.38365,88.69709,0.82126,22.01976,0.26589,79.48447,89.25955,8.95792,8.58429,97.02214,11.5662,23.14387,84.25946,7.66331,24.8584,19.57188,95.0171,17.28514,63.56479,29.50074,56.16742,17.7536,4.37276,0.22613,82.55577,0.13151,95.98248,84.94615,0,1.5573,0.11464,79.31059,65.57879,50.88695,0,0.89614,53.1935,85.50385,69.88214,79.92552,69.11057,81.39003,51.45236,81.03011,21.26503,22.44829,39.12371,39.90685,48.1406
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales",2.14742,9.50913,5.27659,2.62354,2.21165,8.2,1.06512,9.25728,5.7003,6.53212,7.68043,1.63405,0,0.00685,0.0031,0.00301,0.55237,0.00056,0,0.36334,0,0,0,0.01693,0,0.01322,0.00827,0.07096,0.13038,0.01301,0.01025,0.02195,0.00701,0,0,0,0.00547,0.00282,0.02594,0.00013,0,0.00054,0,0,0,3.6312,0,0,0,0,0,0.00769,0.00034,8.38998,9.80074,1.76446,0.01234,0,0,0,0,0,0.00244,0,0,0,0,0,0,0.01753,0.00671,0.28506,0,0,0.03847,0.01432,0,0.00255,0.10756,1.07166,0.08507,0.00129,0,2.37741,4.24759,0.59262,1.00038,0.32125,0.53189,0,0,0,0,0,0,0,0,0,1.47358,0,0,0,0.00327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13687,1.10816,0.10355,0,0.09516,0.11547,0,0,0,0,0,0,0,0,0,0.00333,0,0.00818,0.00312,0.03572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0.08991,0.1069,0.06464,0.01602,0.04496,0.04451,0.22633,0.03251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65159,1.15113,0.00626,0.27466,1.73373,0.01036,0,0.77561,1.61121,5.6024,0.66308,2.40029,0,0.01746,0.00979,1.01591,3.42064,0.7251,0.19698,1.95572,9.18309,24.57321,7.55034,0.03136,0.16169,0.0301,0,2.63237,4.94891,0,0,0,0,0,0,0.12864,0,0,0,0,0,0,0,7.08048,49.02323,14.99667,26.78486,2.26762,35.69096,16.46984,38.32051,0,0,0,0,0,0,0,0,0,0,0,0.52144,10.08782,13.46265,0,0.42062,0,0,0,7.25869,1.56855,0,0,0,0.0182,0,0,0,0.02476
